Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;WiFi;2021-08-19 03:36:17.884;2021-08-19 03:36:19.939;1434;77;2055
WEB;WiFi;2021-08-19 03:36:58.945;2021-08-19 03:37:01.110;1576;81;2165
WEB;WiFi;2021-08-19 03:37:40.133;2021-08-19 03:37:42.258;1701;78;2125
WEB;WiFi;2021-08-19 03:38:22.518;2021-08-19 03:38:24.612;2047;74;2094
WEB;WiFi;2021-08-19 03:39:02.956;2021-08-19 03:39:05.514;1650;201;2558
WEB;WiFi;2021-08-19 03:39:45.121;2021-08-19 03:39:47.494;2175;89;2373
WEB;WiFi;2021-08-19 03:40:27.774;2021-08-19 03:40:30.190;2376;89;2416
WEB;WiFi;2021-08-19 03:41:08.684;2021-08-19 03:41:10.664;1824;115;1980
WEB;WiFi;2021-08-19 03:41:49.296;2021-08-19 03:41:51.533;1948;80;2237
WEB;WiFi;2021-08-19 03:42:30.490;2021-08-19 03:42:32.681;1641;64;2191
WEB;WiFi;2021-08-19 03:43:11.690;2021-08-19 03:43:14.077;1696;61;2387
WEB;WiFi;2021-08-19 03:43:52.145;2021-08-19 03:43:54.272;1834;66;2127
WEB;WiFi;2021-08-19 03:44:32.831;2021-08-19 03:44:35.159;574;68;2328
WEB;WiFi;2021-08-19 03:45:12.273;2021-08-19 03:45:14.220;545;79;1947
WEB;WiFi;2021-08-19 03:45:52.051;2021-08-19 03:45:54.038;2152;105;1987
WEB;WiFi;2021-08-19 03:46:32.814;2021-08-19 03:46:35.123;1774;108;2309
WEB;WiFi;2021-08-19 03:47:14.012;2021-08-19 03:47:16.389;1538;83;2377
WEB;WiFi;2021-08-19 03:47:54.351;2021-08-19 03:47:56.498;573;106;2147
WEB;WiFi;2021-08-19 03:48:36.101;2021-08-19 03:48:38.263;1584;72;2162
WEB;WiFi;2021-08-19 03:49:18.012;2021-08-19 03:49:20.075;1667;94;2063
WEB;WiFi;2021-08-19 03:49:57.831;2021-08-19 03:50:00.345;1335;73;2514
WEB;WiFi;2021-08-19 03:50:39.588;2021-08-19 03:50:41.556;1781;61;1968
WEB;WiFi;2021-08-19 03:51:20.952;2021-08-19 03:51:22.843;1757;102;1891
WEB;WiFi;2021-08-19 03:52:00.752;2021-08-19 03:52:02.914;692;127;2162
WEB;WiFi;2021-08-19 03:52:40.271;2021-08-19 03:52:42.281;752;105;2009
WEB;WiFi;2021-08-19 03:53:19.205;2021-08-19 03:53:21.859;572;91;2654
WEB;WiFi;2021-08-19 03:54:00.822;2021-08-19 03:54:02.851;1765;101;2029
WEB;WiFi;2021-08-19 03:54:40.529;2021-08-19 03:54:42.587;545;106;2058
WEB;WiFi;2021-08-19 03:55:20.082;2021-08-19 03:55:22.087;593;94;2005
WEB;WiFi;2021-08-19 03:56:01.457;2021-08-19 03:56:03.511;1988;76;2054
WEB;WiFi;2021-08-19 03:56:42.799;2021-08-19 03:56:45.002;1886;65;2203
WEB;WiFi;2021-08-19 03:57:22.005;2021-08-19 03:57:24.138;508;105;2133
WEB;WiFi;2021-08-19 03:58:04.283;2021-08-19 03:58:06.577;1567;80;2294
WEB;WiFi;2021-08-19 03:58:46.642;2021-08-19 03:58:48.682;2059;76;2040
WEB;WiFi;2021-08-19 03:59:27.212;2021-08-19 03:59:29.245;1671;81;2033
WEB;WiFi;2021-08-19 04:00:06.864;2021-08-19 04:00:08.835;597;67;1971
WEB;WiFi;2021-08-19 04:00:47.714;2021-08-19 04:00:49.577;1883;77;1863
WEB;WiFi;2021-08-19 04:01:27.090;2021-08-19 04:01:29.197;488;75;2107
WEB;WiFi;2021-08-19 04:02:07.766;2021-08-19 04:02:09.831;1974;59;2065
WEB;WiFi;2021-08-19 04:02:47.796;2021-08-19 04:02:50.028;764;82;2232
WEB;WiFi;2021-08-19 04:03:27.990;2021-08-19 04:03:30.008;543;83;2017
WEB;WiFi;2021-08-19 04:04:12.988;2021-08-19 04:04:14.122;5003;91;1134
WEB;WiFi;2021-08-19 04:04:53.278;2021-08-19 04:04:55.288;1611;89;2009
WEB;WiFi;2021-08-19 04:05:33.239;2021-08-19 04:05:35.163;437;53;1924
WEB;WiFi;2021-08-19 04:06:16.146;2021-08-19 04:06:18.166;1492;62;2020
WEB;WiFi;2021-08-19 04:06:57.658;2021-08-19 04:06:59.826;1856;65;2168
WEB;WiFi;2021-08-19 04:07:39.033;2021-08-19 04:07:41.025;1861;79;1992
WEB;WiFi;2021-08-19 04:08:19.140;2021-08-19 04:08:21.677;1777;103;2537
WEB;WiFi;2021-08-19 04:09:01.849;2021-08-19 04:09:03.751;1920;115;1902
WEB;WiFi;2021-08-19 04:09:41.325;2021-08-19 04:09:43.560;526;68;2235
WEB;WiFi;2021-08-19 04:10:20.233;2021-08-19 04:10:22.382;1506;74;2149
WEB;WiFi;2021-08-19 04:10:59.615;2021-08-19 04:11:01.842;570;63;2227
WEB;WiFi;2021-08-19 04:11:40.774;2021-08-19 04:11:42.940;1584;90;2166
WEB;WiFi;2021-08-19 04:12:22.103;2021-08-19 04:12:24.305;1947;91;2202
WEB;WiFi;2021-08-19 04:13:01.337;2021-08-19 04:13:03.666;656;65;2329
WEB;WiFi;2021-08-19 04:13:43.872;2021-08-19 04:13:46.069;1626;96;2197
WEB;WiFi;2021-08-19 04:14:24.321;2021-08-19 04:14:26.379;614;115;2058
WEB;WiFi;2021-08-19 04:15:05.878;2021-08-19 04:15:07.926;1801;76;2048
WEB;WiFi;2021-08-19 04:15:47.010;2021-08-19 04:15:49.118;1465;64;2108
WEB;WiFi;2021-08-19 04:16:27.938;2021-08-19 04:16:29.967;1633;72;2029
WEB;WiFi;2021-08-19 04:17:08.931;2021-08-19 04:17:10.935;1560;68;2004
WEB;WiFi;2021-08-19 04:17:47.940;2021-08-19 04:17:50.245;363;141;2305
WEB;WiFi;2021-08-19 04:18:27.492;2021-08-19 04:18:29.627;534;69;2135
WEB;WiFi;2021-08-19 04:19:07.226;2021-08-19 04:19:09.265;482;114;2039
WEB;WiFi;2021-08-19 04:19:48.513;2021-08-19 04:19:50.859;1433;133;2346
WEB;WiFi;2021-08-19 04:20:29.247;2021-08-19 04:20:31.453;1460;92;2206
WEB;WiFi;2021-08-19 04:21:09.847;2021-08-19 04:21:12.150;1661;56;2303
WEB;WiFi;2021-08-19 04:21:51.167;2021-08-19 04:21:53.351;1776;156;2184
WEB;WiFi;2021-08-19 04:22:34.165;2021-08-19 04:22:36.337;1945;108;2172
WEB;WiFi;2021-08-19 04:23:16.571;2021-08-19 04:23:18.800;1922;71;2229
WEB;WiFi;2021-08-19 04:23:58.384;2021-08-19 04:24:00.440;1713;68;2056
WEB;WiFi;2021-08-19 04:24:39.249;2021-08-19 04:24:41.445;1656;68;2196
WEB;WiFi;2021-08-19 04:25:18.454;2021-08-19 04:25:20.527;435;64;2073
WEB;WiFi;2021-08-19 04:25:58.098;2021-08-19 04:26:00.244;546;85;2146
WEB;WiFi;2021-08-19 04:26:38.940;2021-08-19 04:26:41.127;1933;97;2187
WEB;WiFi;2021-08-19 04:27:18.223;2021-08-19 04:27:20.372;1354;85;2149
WEB;WiFi;2021-08-19 04:27:57.783;2021-08-19 04:28:00.317;1488;92;2534
WEB;WiFi;2021-08-19 04:28:38.839;2021-08-19 04:28:42.829;582;102;3990
WEB;WiFi;2021-08-19 04:29:57.909;2021-08-19 04:30:00.308;558;58;2399
WEB;WiFi;2021-08-19 04:30:38.314;2021-08-19 04:30:40.684;724;60;2370
WEB;WiFi;2021-08-19 04:31:23.269;2021-08-19 04:31:25.459;1864;83;2190
WEB;WiFi;2021-08-19 04:32:03.814;2021-08-19 04:32:05.951;469;87;2137
WEB;WiFi;2021-08-19 04:32:46.552;2021-08-19 04:32:48.592;1732;73;2040
WEB;WiFi;2021-08-19 04:33:26.334;2021-08-19 04:33:28.140;473;151;1806
WEB;WiFi;2021-08-19 04:34:06.111;2021-08-19 04:34:08.033;485;183;1922
WEB;WiFi;2021-08-19 04:34:47.318;2021-08-19 04:34:49.910;1584;65;2592
WEB;WiFi;2021-08-19 04:35:27.458;2021-08-19 04:35:29.466;670;95;2008
WEB;WiFi;2021-08-19 04:36:06.625;2021-08-19 04:36:08.813;626;65;2188
WEB;WiFi;2021-08-19 04:36:46.646;2021-08-19 04:36:48.757;579;79;2111
WEB;WiFi;2021-08-19 04:37:26.180;2021-08-19 04:37:28.145;596;88;1965
WEB;WiFi;2021-08-19 04:38:05.092;2021-08-19 04:38:07.100;498;119;2008
WEB;WiFi;2021-08-19 04:38:44.411;2021-08-19 04:38:46.599;612;77;2188
WEB;WiFi;2021-08-19 04:39:27.052;2021-08-19 04:39:29.020;1712;72;1968
WEB;WiFi;2021-08-19 04:40:06.744;2021-08-19 04:40:08.815;566;114;2071
WEB;WiFi;2021-08-19 04:40:46.053;2021-08-19 04:40:48.062;537;64;2009
WEB;WiFi;2021-08-19 04:41:27.211;2021-08-19 04:41:29.336;1728;76;2125
WEB;WiFi;2021-08-19 04:42:06.572;2021-08-19 04:42:08.468;602;78;1896
WEB;WiFi;2021-08-19 04:42:47.399;2021-08-19 04:42:49.462;1703;97;2063
WEB;WiFi;2021-08-19 04:43:28.456;2021-08-19 04:43:30.431;1594;67;1975
WEB;WiFi;2021-08-19 04:44:10.283;2021-08-19 04:44:12.402;1485;57;2119
WEB;WiFi;2021-08-19 04:44:51.390;2021-08-19 04:44:53.392;437;73;2001
WEB;WiFi;2021-08-19 04:45:31.137;2021-08-19 04:45:33.120;478;103;1983
WEB;WiFi;2021-08-19 04:46:10.774;2021-08-19 04:46:12.868;529;73;2094
WEB;WiFi;2021-08-19 04:46:50.789;2021-08-19 04:46:53.050;475;65;2261
WEB;WiFi;2021-08-19 04:47:34.129;2021-08-19 04:47:36.108;2632;82;1979
