Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;WiFi;2021-08-19 06:13:16.421;2021-08-19 06:13:18.536;517;60;2115
WEB;WiFi;2021-08-19 06:13:56.261;2021-08-19 06:13:58.277;584;72;2016
WEB;WiFi;2021-08-19 06:14:35.726;2021-08-19 06:14:37.908;501;68;2182
WEB;WiFi;2021-08-19 06:15:20.251;2021-08-19 06:15:21.965;2943;68;1714
WEB;WiFi;2021-08-19 06:16:00.103;2021-08-19 06:16:02.244;742;86;2141
WEB;WiFi;2021-08-19 06:16:44.718;2021-08-19 06:16:46.912;717;104;2194
WEB;WiFi;2021-08-19 06:17:25.818;2021-08-19 06:17:28.000;1830;64;2182
WEB;WiFi;2021-08-19 06:18:06.571;2021-08-19 06:18:09.188;1763;68;2617
WEB;WiFi;2021-08-19 06:18:49.674;2021-08-19 06:18:51.603;1649;58;1929
WEB;WiFi;2021-08-19 06:19:30.385;2021-08-19 06:19:32.186;2023;80;1801
WEB;WiFi;2021-08-19 06:20:09.878;2021-08-19 06:20:12.223;601;60;2345
WEB;WiFi;2021-08-19 06:20:49.186;2021-08-19 06:20:51.273;599;72;2087
WEB;WiFi;2021-08-19 06:21:28.351;2021-08-19 06:21:30.664;486;71;2313
WEB;WiFi;2021-08-19 06:22:09.787;2021-08-19 06:22:12.203;1887;106;2416
WEB;WiFi;2021-08-19 06:22:49.517;2021-08-19 06:22:51.802;687;102;2285
WEB;WiFi;2021-08-19 06:23:31.447;2021-08-19 06:23:33.862;1671;96;2415
WEB;WiFi;2021-08-19 06:24:11.238;2021-08-19 06:24:13.653;500;83;2415
WEB;WiFi;2021-08-19 06:24:53.540;2021-08-19 06:24:55.572;1941;65;2032
WEB;WiFi;2021-08-19 06:25:34.123;2021-08-19 06:25:36.023;1554;70;1900
WEB;WiFi;2021-08-19 06:26:14.254;2021-08-19 06:26:16.176;590;116;1922
WEB;WiFi;2021-08-19 06:26:55.290;2021-08-19 06:26:57.282;1428;83;1992
WEB;WiFi;2021-08-19 06:27:37.214;2021-08-19 06:27:39.637;1813;81;2423
WEB;WiFi;2021-08-19 06:28:20.423;2021-08-19 06:28:22.771;1753;71;2348
WEB;WiFi;2021-08-19 06:29:03.958;2021-08-19 06:29:06.142;1806;174;2184
WEB;WiFi;2021-08-19 06:29:43.407;2021-08-19 06:29:45.530;1484;64;2123
WEB;WiFi;2021-08-19 06:30:22.735;2021-08-19 06:30:24.869;562;89;2134
WEB;WiFi;2021-08-19 06:31:05.095;2021-08-19 06:31:07.210;1513;87;2115
WEB;WiFi;2021-08-19 06:31:46.953;2021-08-19 06:31:48.903;1393;61;1950
WEB;WiFi;2021-08-19 06:32:27.866;2021-08-19 06:32:30.048;732;93;2182
WEB;WiFi;2021-08-19 06:33:07.637;2021-08-19 06:33:10.107;694;108;2470
WEB;WiFi;2021-08-19 06:33:48.826;2021-08-19 06:33:50.878;2037;108;2052
WEB;WiFi;2021-08-19 06:34:29.252;2021-08-19 06:34:32.108;1822;94;2856
WEB;WiFi;2021-08-19 06:35:12.061;2021-08-19 06:35:13.956;1657;280;1895
WEB;WiFi;2021-08-19 06:35:52.091;2021-08-19 06:35:54.161;534;124;2070
WEB;WiFi;2021-08-19 06:36:31.548;2021-08-19 06:36:33.719;365;69;2171
WEB;WiFi;2021-08-19 06:37:11.714;2021-08-19 06:37:14.054;628;181;2340
WEB;WiFi;2021-08-19 06:37:54.103;2021-08-19 06:37:56.683;2564;78;2580
WEB;WiFi;2021-08-19 06:38:34.653;2021-08-19 06:38:37.009;613;102;2356
WEB;WiFi;2021-08-19 06:39:14.788;2021-08-19 06:39:17.206;524;101;2418
WEB;WiFi;2021-08-19 06:39:54.471;2021-08-19 06:39:57.406;462;155;2935
WEB;WiFi;2021-08-19 06:40:34.810;2021-08-19 06:40:37.174;696;72;2364
WEB;WiFi;2021-08-19 06:41:14.153;2021-08-19 06:41:16.646;600;129;2493
WEB;WiFi;2021-08-19 06:41:55.845;2021-08-19 06:41:58.084;1846;90;2239
WEB;WiFi;2021-08-19 06:42:35.864;2021-08-19 06:42:37.795;554;77;1931
WEB;WiFi;2021-08-19 06:43:17.140;2021-08-19 06:43:19.142;1966;67;2001
WEB;WiFi;2021-08-19 06:43:57.155;2021-08-19 06:43:59.083;704;80;1928
WEB;WiFi;2021-08-19 06:44:38.755;2021-08-19 06:44:41.099;1661;74;2344
WEB;WiFi;2021-08-19 06:45:19.572;2021-08-19 06:45:23.388;942;93;3816
WEB;WiFi;2021-08-19 06:46:02.627;2021-08-19 06:46:04.728;525;97;2101
WEB;WiFi;2021-08-19 06:46:46.273;2021-08-19 06:46:49.063;541;140;2790
WEB;WiFi;2021-08-19 06:47:28.926;2021-08-19 06:47:31.007;442;63;2081
WEB;WiFi;2021-08-19 06:48:14.304;2021-08-19 06:48:16.932;1972;69;2628
WEB;WiFi;2021-08-19 06:48:59.890;2021-08-19 06:49:02.328;2284;133;2438
WEB;WiFi;2021-08-19 10:31:39.257;2021-08-19 10:31:41.742;1359;129;2485
WEB;WiFi;2021-08-19 10:32:31.912;2021-08-19 10:32:34.132;1210;338;2220
WEB;WiFi;2021-08-19 10:33:17.354;2021-08-19 10:33:19.889;1176;67;2535
WEB;WiFi;2021-08-19 10:43:20.125;2021-08-19 10:43:22.761;1708;116;2636
WEB;WiFi;2021-08-19 10:44:14.676;2021-08-19 10:44:17.510;1649;54;2834
WEB;WiFi;2021-08-19 10:44:59.734;2021-08-19 10:45:02.442;1670;56;2708
WEB;WiFi;2021-08-19 10:45:54.010;2021-08-19 10:45:57.012;2105;132;3002
WEB;WiFi;2021-08-19 10:46:44.331;2021-08-19 10:46:46.616;2523;62;2285
WEB;WiFi;2021-08-19 10:47:35.624;2021-08-19 10:47:37.882;1957;59;2258
WEB;WiFi;2021-08-20 16:27:07.441;2021-08-20 16:27:11.153;1888;38;3712
WEB;WiFi;2021-08-20 16:27:47.604;2021-08-20 16:27:50.812;1073;57;3208
WEB;WiFi;2021-08-20 16:33:03.920;2021-08-20 16:33:08.687;1949;38;4767;"Tiempo final empleado: 4194ms"
WEB;WiFi;2021-08-20 16:33:45.434;2021-08-20 16:33:48.767;1684;94;3333;"Tiempo final empleado: 3243ms"
WEB;WiFi;2021-08-20 16:34:27.933;2021-08-20 16:34:29.482;1702;359;1549;"Tiempo final empleado: 1705ms"
WEB;WiFi;2021-08-20 16:37:29.794;2021-08-20 16:37:32.621;1285;77;2827;"Tiempo final empleado: 2285ms"
WEB;WiFi;2021-08-20 16:38:08.561;2021-08-20 16:38:14.859;1270;49;6298;"Tiempo final empleado: 5880ms"
WEB;WiFi;2021-08-20 16:38:51.452;2021-08-20 16:38:53.763;1337;27;2311;"Tiempo final empleado: 1850ms"
WEB;WiFi;2021-08-20 16:39:30.313;2021-08-20 16:39:33.058;1208;53;2745;"Tiempo final empleado: 2196ms"
WEB;WiFi;2021-08-20 16:40:10.303;2021-08-20 16:40:13.384;992;66;3081;"Tiempo final empleado: 2513ms"
WEB;WiFi;2021-08-20 16:40:50.583;2021-08-20 16:40:52.775;1794;88;2192;"Tiempo final empleado: 2081ms"
WEB;WiFi;2021-08-20 16:41:29.054;2021-08-20 16:41:35.847;1288;52;6793;"Tiempo final empleado: 6314ms"
WEB;WiFi;2021-08-20 16:42:13.642;2021-08-20 16:42:16.266;3372;24;2624;"Tiempo final empleado: 2096ms"
WEB;WiFi;2021-08-20 16:42:53.325;2021-08-20 16:42:57.729;1237;42;4404;"Tiempo final empleado: 3812ms"
WEB;WiFi;2021-08-20 16:43:54.867;2021-08-20 16:43:57.604;1480;53;2737;"Tiempo final empleado: 2204ms"
WEB;WiFi;2021-08-20 16:44:35.433;2021-08-20 16:44:38.417;1306;49;2984;"Tiempo final empleado: 2483ms"
WEB;WiFi;2021-08-20 16:45:14.895;2021-08-20 16:45:19.505;1295;43;4610;"Tiempo final empleado: 3789ms"
WEB;WiFi;2021-08-20 16:45:56.828;2021-08-20 16:45:59.740;1395;43;2912;"Tiempo final empleado: 2331ms"
WEB;WiFi;2021-08-20 16:46:38.657;2021-08-20 16:46:44.077;1512;141;5420;"Tiempo final empleado: 5026ms"
WEB;WiFi;2021-08-20 16:47:20.960;2021-08-20 16:47:23.536;1798;82;2576;"Tiempo final empleado: 2156ms"
WEB;WiFi;2021-08-20 21:22:51.887;2021-08-20 21:22:54.770;1699;54;2883;"Tiempo final empleado: 2341ms"
