Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Facturas;Histograma;En tu banco
WEB;WiFi;2021-08-18 23:00:03.623;2021-08-18 23:00:10.127;1923;6504;72
WEB;WiFi;2021-08-18 23:00:39.122;2021-08-18 23:00:44.139;1513;5017;580
WEB;WiFi;2021-08-18 23:01:12.869;2021-08-18 23:01:16.408;1449;3539;467
WEB;WiFi;2021-08-18 23:01:46.233;2021-08-18 23:01:49.732;1735;3499;494
WEB;WiFi;2021-08-18 23:02:18.466;2021-08-18 23:02:21.681;1638;3215;504
WEB;WiFi;2021-08-18 23:02:51.410;2021-08-18 23:02:54.736;2278;3326;480
WEB;WiFi;2021-08-18 23:03:24.505;2021-08-18 23:03:29.649;2209;5144;556
WEB;WiFi;2021-08-18 23:03:59.633;2021-08-18 23:04:06.808;2075;7175;52
WEB;WiFi;2021-08-18 23:04:35.528;2021-08-18 23:04:39.880;1820;4352;48
WEB;WiFi;2021-08-18 23:05:22.112;2021-08-18 23:05:27.406;3770;5294;48
WEB;WiFi;2021-08-18 23:05:57.642;2021-08-18 23:06:01.867;2589;4225;520
WEB;WiFi;2021-08-18 23:06:33.087;2021-08-18 23:06:37.278;1817;4191;474
WEB;WiFi;2021-08-18 23:07:06.890;2021-08-18 23:07:10.915;1673;4025;71
WEB;WiFi;2021-08-18 23:07:39.522;2021-08-18 23:07:43.673;1742;4151;76
WEB;WiFi;2021-08-18 23:08:12.801;2021-08-18 23:08:16.934;1699;4133;68
WEB;WiFi;2021-08-18 23:08:45.571;2021-08-18 23:08:50.457;1282;4886;536
WEB;WiFi;2021-08-18 23:09:19.295;2021-08-18 23:09:24.361;1494;5066;468
WEB;WiFi;2021-08-18 23:09:53.534;2021-08-18 23:09:57.836;1937;4302;68
WEB;WiFi;2021-08-18 23:10:27.137;2021-08-18 23:10:31.979;1854;4842;525
WEB;WiFi;2021-08-18 23:11:00.639;2021-08-18 23:11:03.856;1703;3217;488
WEB;WiFi;2021-08-18 23:11:32.989;2021-08-18 23:11:37.441;1304;4452;518
WEB;WiFi;2021-08-18 23:12:06.368;2021-08-18 23:12:10.480;1920;4112;71
WEB;WiFi;2021-08-18 23:12:39.970;2021-08-18 23:12:43.369;2173;3399;524
WEB;WiFi;2021-08-18 23:13:11.998;2021-08-18 23:13:16.311;1922;4313;66
WEB;WiFi;2021-08-18 23:13:45.727;2021-08-18 23:13:49.114;1930;3387;88
WEB;WiFi;2021-08-18 23:14:18.152;2021-08-18 23:14:21.487;2037;3335;476
WEB;WiFi;2021-08-18 23:14:52.376;2021-08-18 23:14:57.444;1417;5068;368
WEB;WiFi;2021-08-18 23:15:26.724;2021-08-18 23:15:31.012;1872;4288;112
WEB;WiFi;2021-08-18 23:15:59.247;2021-08-18 23:16:05.826;1777;6579;79
WEB;WiFi;2021-08-18 23:16:34.988;2021-08-18 23:16:39.177;1496;4189;428
WEB;WiFi;2021-08-18 23:17:08.956;2021-08-18 23:17:14.241;1907;5285;80
WEB;WiFi;2021-08-18 23:17:44.815;2021-08-18 23:17:48.576;2163;3761;504
WEB;WiFi;2021-08-18 23:18:17.462;2021-08-18 23:18:23.098;2124;5636;488
WEB;WiFi;2021-08-18 23:18:52.838;2021-08-18 23:18:58.811;1876;5973;587
WEB;WiFi;2021-08-18 23:19:28.176;2021-08-18 23:19:32.040;1922;3864;75
WEB;WiFi;2021-08-18 23:20:03.370;2021-08-18 23:20:09.419;1959;6049;70
WEB;WiFi;2021-08-18 23:20:39.831;2021-08-18 23:20:43.958;1855;4127;458
WEB;WiFi;2021-08-18 23:21:13.546;2021-08-18 23:21:17.786;1878;4240;78
WEB;WiFi;2021-08-18 23:21:46.631;2021-08-18 23:21:51.871;1795;5240;74
WEB;WiFi;2021-08-18 23:22:21.688;2021-08-18 23:22:25.667;1943;3979;81
WEB;WiFi;2021-08-18 23:22:54.098;2021-08-18 23:22:58.603;1465;4505;476
WEB;WiFi;2021-08-18 23:23:28.269;2021-08-18 23:23:32.600;1753;4331;69
WEB;WiFi;2021-08-18 23:24:00.988;2021-08-18 23:24:05.170;1897;4182;69
WEB;WiFi;2021-08-18 23:24:34.621;2021-08-18 23:24:39.542;1830;4921;67
WEB;WiFi;2021-08-18 23:25:08.056;2021-08-18 23:25:13.747;1882;5691;80
WEB;WiFi;2021-08-18 23:25:43.299;2021-08-18 23:25:47.292;1929;3993;71
WEB;WiFi;2021-08-18 23:26:15.959;2021-08-18 23:26:20.826;1884;4867;103
WEB;WiFi;2021-08-18 23:26:50.539;2021-08-18 23:26:54.719;2877;4180;468
WEB;WiFi;2021-08-18 23:27:24.754;2021-08-18 23:27:28.521;1920;3767;457
WEB;WiFi;2021-08-18 23:27:57.826;2021-08-18 23:28:02.181;2003;4355;810
WEB;WiFi;2021-08-18 23:28:32.172;2021-08-18 23:28:35.274;1332;3102;490
WEB;WiFi;2021-08-18 23:29:04.214;2021-08-18 23:29:08.328;1364;4114;445
WEB;WiFi;2021-08-18 23:29:37.524;2021-08-18 23:29:40.837;1855;3313;70
WEB;WiFi;2021-08-18 23:30:11.091;2021-08-18 23:30:14.987;2910;3896;602
WEB;WiFi;2021-08-18 23:30:43.659;2021-08-18 23:30:46.763;1738;3104;80
WEB;WiFi;2021-08-18 23:31:16.671;2021-08-18 23:31:20.935;2231;4264;225
WEB;WiFi;2021-08-18 23:31:49.513;2021-08-18 23:31:54.316;1799;4803;516
WEB;WiFi;2021-08-18 23:32:24.497;2021-08-18 23:32:28.931;2240;4434;579
WEB;WiFi;2021-08-18 23:32:58.659;2021-08-18 23:33:03.577;1891;4918;86
WEB;WiFi;2021-08-18 23:33:34.461;2021-08-18 23:33:37.798;1843;3337;472
WEB;WiFi;2021-08-18 23:34:06.634;2021-08-18 23:34:09.740;1985;3106;81
WEB;WiFi;2021-08-18 23:34:38.859;2021-08-18 23:34:42.947;1502;4088;67
WEB;WiFi;2021-08-18 23:35:12.697;2021-08-18 23:35:17.402;2176;4705;624
WEB;WiFi;2021-08-18 23:35:46.428;2021-08-18 23:35:50.695;1743;4267;77
WEB;WiFi;2021-08-18 23:36:19.758;2021-08-18 23:36:24.070;1896;4312;602
WEB;WiFi;2021-08-18 23:36:53.180;2021-08-18 23:36:56.559;1863;3379;71
WEB;WiFi;2021-08-18 23:37:26.026;2021-08-18 23:37:30.514;1950;4488;484
WEB;WiFi;2021-08-18 23:38:00.436;2021-08-18 23:38:04.719;1734;4283;653
WEB;WiFi;2021-08-18 23:38:34.777;2021-08-18 23:38:39.194;2296;4417;476
WEB;WiFi;2021-08-18 23:39:08.552;2021-08-18 23:39:12.773;1693;4221;473
WEB;WiFi;2021-08-18 23:39:42.021;2021-08-18 23:39:46.325;2268;4304;590
WEB;WiFi;2021-08-18 23:40:16.514;2021-08-18 23:40:21.035;1860;4521;494
WEB;WiFi;2021-08-18 23:40:49.823;2021-08-18 23:40:55.068;1946;5245;573
WEB;WiFi;2021-08-18 23:41:25.151;2021-08-18 23:41:29.865;2247;4714;595
WEB;WiFi;2021-08-18 23:41:58.618;2021-08-18 23:42:02.810;1924;4192;72
WEB;WiFi;2021-08-18 23:42:32.982;2021-08-18 23:42:37.095;1810;4113;464
WEB;WiFi;2021-08-18 23:43:06.359;2021-08-18 23:43:11.193;2080;4834;67
WEB;WiFi;2021-08-18 23:43:40.502;2021-08-18 23:43:46.615;1943;6113;484
WEB;WiFi;2021-08-18 23:44:15.396;2021-08-18 23:44:19.832;1619;4436;524
WEB;WiFi;2021-08-18 23:44:49.242;2021-08-18 23:44:52.878;1871;3636;645
WEB;WiFi;2021-08-18 23:45:21.497;2021-08-18 23:45:26.697;1633;5200;616
WEB;WiFi;2021-08-18 23:45:56.270;2021-08-18 23:46:01.625;1894;5355;69
WEB;WiFi;2021-08-18 23:46:30.249;2021-08-18 23:46:35.227;1996;4978;471
WEB;WiFi;2021-08-18 23:47:05.164;2021-08-18 23:47:10.397;2107;5233;502
WEB;WiFi;2021-08-18 23:47:38.912;2021-08-18 23:47:42.711;1813;3799;70
WEB;WiFi;2021-08-18 23:48:11.856;2021-08-18 23:48:17.186;1861;5330;70
WEB;WiFi;2021-08-18 23:48:45.781;2021-08-18 23:48:50.093;1913;4312;549
WEB;WiFi;2021-08-18 23:49:19.456;2021-08-18 23:49:23.670;1918;4214;743
WEB;WiFi;2021-08-18 23:49:52.478;2021-08-18 23:49:56.600;1806;4122;512
WEB;WiFi;2021-08-18 23:50:27.844;2021-08-18 23:50:31.101;1957;3257;71
WEB;WiFi;2021-08-18 23:50:59.788;2021-08-18 23:51:03.737;2027;3949;117
WEB;WiFi;2021-08-18 23:51:33.153;2021-08-18 23:51:37.305;1879;4152;477
WEB;WiFi;2021-08-18 23:52:05.875;2021-08-18 23:52:13.090;1698;7215;308
WEB;WiFi;2021-08-18 23:52:42.487;2021-08-18 23:52:46.088;1822;3601;441
WEB;WiFi;2021-08-18 23:53:15.565;2021-08-18 23:53:20.143;1714;4578;70
WEB;WiFi;2021-08-18 23:53:49.773;2021-08-18 23:53:55.083;2150;5310;49
WEB;WiFi;2021-08-18 23:54:23.956;2021-08-18 23:54:27.294;2385;3338;70
WEB;WiFi;2021-08-18 23:54:56.285;2021-08-18 23:54:59.753;1500;3468;368
WEB;WiFi;2021-08-18 23:55:30.421;2021-08-18 23:55:34.648;2214;4227;470
WEB;WiFi;2021-08-18 23:56:04.189;2021-08-18 23:56:07.224;2107;3035;69
WEB;WiFi;2021-08-18 23:56:35.799;2021-08-18 23:56:39.246;1543;3447;440
WEB;WiFi;2021-08-18 23:57:09.202;2021-08-18 23:57:12.176;1995;2974;69
WEB;WiFi;2021-08-18 23:57:41.381;2021-08-18 23:57:45.402;1948;4021;479
WEB;WiFi;2021-08-18 23:58:15.565;2021-08-18 23:58:18.720;2043;3155;538
WEB;WiFi;2021-08-18 23:58:48.597;2021-08-18 23:58:53.622;1841;5025;456
WEB;WiFi;2021-08-18 23:59:22.487;2021-08-18 23:59:26.012;1701;3525;481
WEB;WiFi;2021-08-18 23:59:55.129;2021-08-19 00:00:00.955;1838;5826;528
WEB;WiFi;2021-08-19 00:00:29.925;2021-08-19 00:00:34.224;1949;4299;451
WEB;WiFi;2021-08-19 00:01:03.800;2021-08-19 00:01:07.899;1954;4099;72
WEB;WiFi;2021-08-19 00:01:37.934;2021-08-19 00:01:41.146;2313;3212;69
WEB;WiFi;2021-08-19 00:02:10.297;2021-08-19 00:02:15.493;2169;5196;104
WEB;WiFi;2021-08-19 00:02:44.326;2021-08-19 00:02:49.523;1903;5197;72
WEB;WiFi;2021-08-19 00:03:22.098;2021-08-19 00:03:25.290;1861;3192;606
WEB;WiFi;2021-08-19 00:03:54.902;2021-08-19 00:04:00.085;1825;5183;48
WEB;WiFi;2021-08-19 00:04:29.264;2021-08-19 00:04:33.645;2868;4381;520
WEB;WiFi;2021-08-19 00:05:02.934;2021-08-19 00:05:08.453;1824;5519;70
WEB;WiFi;2021-08-19 00:05:37.552;2021-08-19 00:05:41.469;2155;3917;475
WEB;WiFi;2021-08-19 00:06:10.653;2021-08-19 00:06:16.107;1964;5454;455
WEB;WiFi;2021-08-19 00:06:45.508;2021-08-19 00:06:49.762;1843;4254;417
WEB;WiFi;2021-08-19 00:07:18.808;2021-08-19 00:07:24.093;1824;5285;574
WEB;WiFi;2021-08-19 00:07:53.039;2021-08-19 00:07:58.044;1995;5005;517
WEB;WiFi;2021-08-19 00:08:27.807;2021-08-19 00:08:31.997;2100;4190;661
WEB;WiFi;2021-08-19 00:09:01.608;2021-08-19 00:09:05.005;2191;3397;473
WEB;WiFi;2021-08-19 00:09:34.878;2021-08-19 00:09:39.000;2029;4122;632
WEB;WiFi;2021-08-19 00:10:07.707;2021-08-19 00:10:12.992;1788;5285;492
WEB;WiFi;2021-08-19 00:10:42.554;2021-08-19 00:10:46.768;1855;4214;87
WEB;WiFi;2021-08-19 00:11:15.099;2021-08-19 00:11:18.252;1792;3153;466
WEB;WiFi;2021-08-19 00:11:47.755;2021-08-19 00:11:51.908;1969;4153;655
WEB;WiFi;2021-08-19 00:12:20.526;2021-08-19 00:12:24.667;1692;4141;572
WEB;WiFi;2021-08-19 00:12:54.012;2021-08-19 00:12:58.154;1953;4142;548
WEB;WiFi;2021-08-19 00:13:26.886;2021-08-19 00:13:31.468;1767;4582;70
WEB;WiFi;2021-08-19 00:14:00.941;2021-08-19 00:14:05.243;2414;4302;545
WEB;WiFi;2021-08-19 00:14:34.204;2021-08-19 00:14:38.528;2152;4324;72
WEB;WiFi;2021-08-19 00:15:08.954;2021-08-19 00:15:13.134;1989;4180;69
WEB;WiFi;2021-08-19 00:15:41.763;2021-08-19 00:15:47.049;1767;5286;50
WEB;WiFi;2021-08-19 00:16:16.027;2021-08-19 00:16:20.193;1791;4166;67
WEB;WiFi;2021-08-19 00:16:48.967;2021-08-19 00:16:53.012;1496;4045;50
WEB;WiFi;2021-08-19 00:17:22.104;2021-08-19 00:17:27.137;2448;5033;545
WEB;WiFi;2021-08-19 00:17:56.589;2021-08-19 00:18:01.938;2181;5349;484
WEB;WiFi;2021-08-19 00:18:33.127;2021-08-19 00:18:36.695;4073;3568;68
WEB;WiFi;2021-08-19 00:19:05.179;2021-08-19 00:19:09.299;1802;4120;525
WEB;WiFi;2021-08-19 00:19:38.483;2021-08-19 00:19:42.145;1384;3662;465
WEB;WiFi;2021-08-19 00:20:11.548;2021-08-19 00:20:14.841;2004;3293;70
