Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados
WEB;Ethernet;2021-08-21 12:29:52.803;2021-08-21 12:29:54.710;2032;79;1907;"respuesta de la XPL OK: 2252ms";"Tiempo final empleado: 2271ms"
WEB;Ethernet;2021-08-21 12:30:33.323;2021-08-21 12:30:38.652;1308;54;5329;"respuesta de la XPL OK: 4741ms";"Tiempo final empleado: 4756ms"
WEB;Ethernet;2021-08-21 12:31:18.460;2021-08-21 12:31:21.480;1874;59;3020;"respuesta de la XPL OK: 2349ms";"Tiempo final empleado: 2364ms"
WEB;Ethernet;2021-08-21 12:32:01.136;2021-08-21 12:32:03.072;1563;327;1936;"respuesta de la XPL OK: 2055ms";"Tiempo final empleado: 2067ms"
WEB;Ethernet;2021-08-21 12:32:42.481;2021-08-21 12:32:46.222;1939;190;3741;"respuesta de la XPL OK: 4064ms";"Tiempo final empleado: 4078ms"
WEB;Ethernet;2021-08-21 12:33:25.955;2021-08-21 12:33:29.666;1830;185;3711;"respuesta de la XPL OK: 4040ms";"Tiempo final empleado: 4053ms"
WEB;Ethernet;2021-08-21 12:34:09.010;2021-08-21 12:34:12.691;1221;54;3681;"respuesta de la XPL OK: 3201ms";"Tiempo final empleado: 3220ms"
WEB;Ethernet;2021-08-21 12:34:51.981;2021-08-21 12:34:54.274;1390;66;2293;"respuesta de la XPL OK: 1843ms";"Tiempo final empleado: 1858ms"
WEB;Ethernet;2021-08-21 12:35:33.483;2021-08-21 12:35:35.839;1225;59;2356;"respuesta de la XPL OK: 1761ms";"Tiempo final empleado: 1775ms"
WEB;Ethernet;2021-08-21 12:36:15.237;2021-08-21 12:36:17.544;1171;52;2307;"respuesta de la XPL OK: 1814ms";"Tiempo final empleado: 1826ms"
WEB;Ethernet;2021-08-21 12:36:57.012;2021-08-21 12:37:00.001;1277;58;2989;"respuesta de la XPL OK: 2400ms";"Tiempo final empleado: 2412ms"
WEB;Ethernet;2021-08-21 12:37:40.098;2021-08-21 12:37:41.784;1745;682;1686;"respuesta de la XPL OK: 2089ms";"Tiempo final empleado: 2109ms"
WEB;Ethernet;2021-08-21 12:38:22.317;2021-08-21 12:38:24.010;2325;64;1693;"respuesta de la XPL OK: 1901ms";"Tiempo final empleado: 1937ms"
WEB;Ethernet;2021-08-21 12:39:03.855;2021-08-21 12:39:06.249;1357;73;2394;"respuesta de la XPL OK: 1978ms";"Tiempo final empleado: 1992ms"
WEB;Ethernet;2021-08-21 12:39:46.005;2021-08-21 12:39:48.796;1523;53;2791;"respuesta de la XPL OK: 2259ms";"Tiempo final empleado: 2273ms"
WEB;Ethernet;2021-08-21 12:40:29.304;2021-08-21 12:40:31.322;1985;96;2017;"respuesta de la XPL OK: 2339ms";"Tiempo final empleado: 2354ms"
WEB;Ethernet;2021-08-21 12:41:11.949;2021-08-21 12:41:17.889;1140;58;5940;"respuesta de la XPL OK: 5437ms";"Tiempo final empleado: 5447ms"
WEB;Ethernet;2021-08-21 12:41:57.602;2021-08-21 12:41:59.934;1458;69;2332;"respuesta de la XPL OK: 1918ms";"Tiempo final empleado: 1928ms"
WEB;Ethernet;2021-08-21 12:42:38.990;2021-08-21 12:42:41.578;1231;59;2588;"respuesta de la XPL OK: 1956ms";"Tiempo final empleado: 1976ms"
WEB;Ethernet;2021-08-21 12:43:20.479;2021-08-21 12:43:23.114;1335;67;2635;"respuesta de la XPL OK: 2231ms";"Tiempo final empleado: 2243ms"
WEB;Ethernet;2021-08-21 12:44:02.164;2021-08-21 12:44:04.491;1366;77;2327;"respuesta de la XPL OK: 1931ms";"Tiempo final empleado: 1945ms"
WEB;Ethernet;2021-08-21 12:44:43.783;2021-08-21 12:44:46.197;1287;56;2414;"respuesta de la XPL OK: 1922ms";"Tiempo final empleado: 1937ms"
WEB;Ethernet;2021-08-21 12:45:25.105;2021-08-21 12:45:27.436;1123;100;2331;"respuesta de la XPL OK: 1959ms";"Tiempo final empleado: 1977ms"
WEB;Ethernet;2021-08-21 12:46:07.614;2021-08-21 12:46:09.776;2389;182;2162;"respuesta de la XPL OK: 1878ms";"Tiempo final empleado: 1892ms"
WEB;Ethernet;2021-08-21 12:46:49.067;2021-08-21 12:46:51.776;1338;92;2709;"respuesta de la XPL OK: 2207ms";"Tiempo final empleado: 2224ms"
WEB;Ethernet;2021-08-21 12:47:31.247;2021-08-21 12:47:33.883;1512;151;2636;"respuesta de la XPL OK: 2288ms";"Tiempo final empleado: 2302ms"
WEB;Ethernet;2021-08-21 12:48:12.988;2021-08-21 12:48:15.516;1375;54;2528;"respuesta de la XPL OK: 2005ms";"Tiempo final empleado: 2023ms"
WEB;Ethernet;2021-08-21 12:48:54.630;2021-08-21 12:48:57.205;1345;54;2575;"respuesta de la XPL OK: 2044ms";"Tiempo final empleado: 2062ms"
WEB;Ethernet;2021-08-21 12:49:36.538;2021-08-21 12:49:39.413;1408;126;2875;"respuesta de la XPL OK: 2725ms";"Tiempo final empleado: 2741ms"
WEB;Ethernet;2021-08-21 12:50:18.728;2021-08-21 12:50:20.998;1413;54;2270;"respuesta de la XPL OK: 1778ms";"Tiempo final empleado: 1796ms"
WEB;Ethernet;2021-08-21 12:51:00.866;2021-08-21 12:51:03.753;1406;52;2887;"respuesta de la XPL OK: 2347ms";"Tiempo final empleado: 2361ms"
WEB;Ethernet;2021-08-21 12:51:43.522;2021-08-21 12:51:48.734;1529;143;5212;"respuesta de la XPL OK: 4820ms";"Tiempo final empleado: 4832ms"
WEB;Ethernet;2021-08-21 12:52:28.537;2021-08-21 12:52:32.819;1291;67;4282;"respuesta de la XPL OK: 3074ms";"Tiempo final empleado: 3094ms"
WEB;Ethernet;2021-08-21 12:53:13.265;2021-08-21 12:53:15.317;1448;293;2052;"respuesta de la XPL OK: 2108ms";"Tiempo final empleado: 2121ms"
WEB;Ethernet;2021-08-21 12:53:56.009;2021-08-21 12:53:58.025;1947;74;2016;"respuesta de la XPL OK: 2429ms";"Tiempo final empleado: 2441ms"
WEB;Ethernet;2021-08-21 12:54:37.721;2021-08-21 12:54:39.990;1191;136;2269;"respuesta de la XPL OK: 1956ms";"Tiempo final empleado: 1980ms"
WEB;Ethernet;2021-08-21 12:55:19.897;2021-08-21 12:55:22.696;1465;117;2799;"respuesta de la XPL OK: 2654ms";"Tiempo final empleado: 2664ms"
WEB;Ethernet;2021-08-21 12:56:02.397;2021-08-21 12:56:04.631;1713;53;2234;"respuesta de la XPL OK: 1679ms";"Tiempo final empleado: 1694ms"
WEB;Ethernet;2021-08-21 12:56:44.249;2021-08-21 12:56:46.538;1337;58;2289;"respuesta de la XPL OK: 1866ms";"Tiempo final empleado: 1880ms"
WEB;Ethernet;2021-08-21 12:57:25.228;2021-08-21 12:57:27.516;1180;57;2288;"respuesta de la XPL OK: 1790ms";"Tiempo final empleado: 1806ms"
WEB;Ethernet;2021-08-21 12:58:07.421;2021-08-21 12:58:10.213;1421;54;2792;"respuesta de la XPL OK: 2284ms";"Tiempo final empleado: 2300ms"
WEB;Ethernet;2021-08-21 12:58:49.432;2021-08-21 12:58:51.623;1234;150;2191;"respuesta de la XPL OK: 1857ms";"Tiempo final empleado: 1875ms"
WEB;Ethernet;2021-08-21 12:59:31.765;2021-08-21 12:59:36.447;1652;387;4682;"respuesta de la XPL OK: 4817ms";"Tiempo final empleado: 4826ms"
WEB;Ethernet;2021-08-21 13:00:15.707;2021-08-21 13:00:18.073;1324;65;2366;"respuesta de la XPL OK: 1926ms";"Tiempo final empleado: 1940ms"
WEB;Ethernet;2021-08-21 13:00:57.584;2021-08-21 13:01:00.160;1311;59;2576;"respuesta de la XPL OK: 2098ms";"Tiempo final empleado: 2112ms"
WEB;Ethernet;2021-08-21 13:01:39.698;2021-08-21 13:01:42.446;1274;125;2748;"respuesta de la XPL OK: 2242ms";"Tiempo final empleado: 2257ms"
WEB;Ethernet;2021-08-21 13:02:21.832;2021-08-21 13:02:27.526;1294;54;5694;"respuesta de la XPL OK: 5134ms";"Tiempo final empleado: 5145ms"
WEB;Ethernet;2021-08-21 13:03:07.951;2021-08-21 13:03:11.488;1686;324;3537;"respuesta de la XPL OK: 3708ms";"Tiempo final empleado: 3723ms"
