Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Mi linea;Mi tarifa;Servicios contratados;Servicios contratados;Servicios contratados
WEB;Ethernet;2021-08-21 00:26:36.570;2021-08-21 00:26:40.046;1262;165;3476;Tiempo final empleado: 2661ms;2661
WEB;Ethernet;2021-08-20 21:49:15.852;2021-08-20 21:49:19.006;1477;102;3154;Tiempo final empleado: 2660ms;2660
WEB;Ethernet;2021-08-20 22:22:53.915;2021-08-20 22:22:56.154;1928;216;2239;Tiempo final empleado: 2646ms;2646
WEB;Ethernet;2021-08-20 22:26:36.041;2021-08-20 22:26:39.876;1988;264;3835;Tiempo final empleado: 2638ms;2638
WEB;Ethernet;2021-08-20 22:57:22.440;2021-08-20 22:57:25.759;1533;250;3319;Tiempo final empleado: 2638ms;2638
WEB;Ethernet;2021-08-21 01:06:41.487;2021-08-21 01:06:44.899;1408;228;3412;Tiempo final empleado: 2637ms;2637
WEB;Ethernet;2021-08-21 00:51:49.561;2021-08-21 00:51:52.776;1240;403;3215;Tiempo final empleado: 2631ms;2631
WEB;Ethernet;2021-08-20 22:05:44.454;2021-08-20 22:05:47.607;1279;240;3153;Tiempo final empleado: 2612ms;2612
WEB;Ethernet;2021-08-20 21:36:54.411;2021-08-20 21:36:57.180;1959;320;2769;Tiempo final empleado: 2610ms;2610
WEB;Ethernet;2021-08-21 00:27:24.224;2021-08-21 00:27:27.608;1425;147;3384;Tiempo final empleado: 2604ms;2604
WEB;Ethernet;2021-08-20 22:06:30.021;2021-08-20 22:06:33.037;1402;234;3016;Tiempo final empleado: 2602ms;2602
WEB;Ethernet;2021-08-21 00:42:24.755;2021-08-21 00:42:28.075;1073;169;3320;Tiempo final empleado: 2601ms;2601
WEB;Ethernet;2021-08-20 21:44:51.490;2021-08-20 21:44:53.725;2275;88;2235;Tiempo final empleado: 2586ms;2586
WEB;Ethernet;2021-08-21 01:07:29.383;2021-08-21 01:07:32.267;1502;386;2884;Tiempo final empleado: 2577ms;2577
WEB;Ethernet;2021-08-20 23:34:06.169;2021-08-20 23:34:08.958;1933;369;2789;Tiempo final empleado: 2576ms;2576
WEB;Ethernet;2021-08-20 22:58:55.258;2021-08-20 22:58:58.754;1372;141;3496;Tiempo final empleado: 2572ms;2572
WEB;Ethernet;2021-08-21 00:57:18.205;2021-08-21 00:57:21.608;1110;154;3403;Tiempo final empleado: 2569ms;2569
WEB;Ethernet;2021-08-20 23:56:30.529;2021-08-20 23:56:33.706;1354;348;3177;Tiempo final empleado: 2562ms;2562
WEB;Ethernet;2021-08-20 23:34:53.593;2021-08-20 23:34:56.991;1326;176;3398;Tiempo final empleado: 2559ms;2559
WEB;Ethernet;2021-08-21 00:32:55.381;2021-08-21 00:32:58.193;1407;408;2812;Tiempo final empleado: 2559ms;2559
WEB;Ethernet;2021-08-20 21:37:39.301;2021-08-20 21:37:42.342;1157;56;3041;Tiempo final empleado: 2557ms;2557
WEB;Ethernet;2021-08-20 23:58:50.888;2021-08-20 23:58:54.209;1316;158;3321;Tiempo final empleado: 2553ms;2553
WEB;Ethernet;2021-08-21 00:02:46.951;2021-08-21 00:02:50.221;3882;167;3270;Tiempo final empleado: 2552ms;2552
WEB;Ethernet;2021-08-21 00:40:50.036;2021-08-21 00:40:53.206;1341;213;3170;Tiempo final empleado: 2552ms;2552
WEB;Ethernet;2021-08-20 23:50:11.999;2021-08-20 23:50:15.823;2140;260;3824;Tiempo final empleado: 2550ms;2550
WEB;Ethernet;2021-08-21 01:12:13.750;2021-08-21 01:12:15.938;1736;657;2188;Tiempo final empleado: 2546ms;2546
WEB;Ethernet;2021-08-20 22:19:52.950;2021-08-20 22:19:55.898;1285;236;2948;Tiempo final empleado: 2543ms;2543
WEB;Ethernet;2021-08-20 23:08:14.382;2021-08-20 23:08:17.813;1253;157;3431;Tiempo final empleado: 2543ms;2543
WEB;Ethernet;2021-08-20 23:44:31.990;2021-08-20 23:44:35.207;1343;356;3217;Tiempo final empleado: 2540ms;2540
WEB;Ethernet;2021-08-20 23:46:13.133;2021-08-20 23:46:16.473;1342;240;3340;Tiempo final empleado: 2527ms;2527
WEB;Ethernet;2021-08-21 00:47:53.203;2021-08-21 00:47:56.255;1433;233;3052;Tiempo final empleado: 2525ms;2525
WEB;Ethernet;2021-08-21 00:18:32.741;2021-08-21 00:18:36.046;1276;140;3305;Tiempo final empleado: 2524ms;2524
WEB;Ethernet;2021-08-21 00:14:40.432;2021-08-21 00:14:43.525;1331;264;3093;Tiempo final empleado: 2520ms;2520
WEB;Ethernet;2021-08-20 22:47:21.457;2021-08-20 22:47:24.021;1763;432;2564;Tiempo final empleado: 2519ms;2519
WEB;Ethernet;2021-08-20 23:41:18.626;2021-08-20 23:41:21.903;1175;225;3277;Tiempo final empleado: 2515ms;2515
WEB;Ethernet;2021-08-21 01:15:26.292;2021-08-21 01:15:29.032;1556;384;2740;Tiempo final empleado: 2515ms;2515
WEB;Ethernet;2021-08-20 23:04:21.682;2021-08-20 23:04:25.030;1290;148;3348;Tiempo final empleado: 2504ms;2504
WEB;Ethernet;2021-08-20 23:57:17.153;2021-08-20 23:57:20.168;1316;419;3015;Tiempo final empleado: 2504ms;2504
WEB;Ethernet;2021-08-20 21:24:12.631;2021-08-20 21:24:15.615;1063;36;2984;Tiempo final empleado: 2495ms;2495
WEB;Ethernet;2021-08-20 23:54:57.755;2021-08-20 23:55:01.020;1794;156;3265;Tiempo final empleado: 2495ms;2495
WEB;Ethernet;2021-08-21 01:02:45.899;2021-08-21 01:02:49.294;1271;148;3395;Tiempo final empleado: 2494ms;2494
WEB;Ethernet;2021-08-20 21:53:36.214;2021-08-20 21:53:38.525;2236;425;2311;Tiempo final empleado: 2492ms;2492
WEB;Ethernet;2021-08-21 00:16:59.263;2021-08-21 00:17:02.579;1268;164;3316;Tiempo final empleado: 2491ms;2491
