Terminal;Conexion;Hora inicio de sesion;Hora de fin de sesion;Datos personales CMS;Datos personales CC
WEB;Ethernet;2021-08-22 12:20:43.001;2021-08-22 12:20:49.401;1838;4562
WEB;Ethernet;2021-08-22 12:21:15.142;2021-08-22 12:21:21.282;1771;4369
WEB;Ethernet;2021-08-22 12:21:46.744;2021-08-22 12:21:52.704;1598;4362
WEB;Ethernet;2021-08-22 12:22:18.454;2021-08-22 12:22:24.473;1847;4172
WEB;Ethernet;2021-08-22 12:22:49.583;2021-08-22 12:22:56.275;1742;4950
WEB;Ethernet;2021-08-22 12:23:21.973;2021-08-22 12:23:28.392;1814;4605
WEB;Ethernet;2021-08-22 12:23:53.580;2021-08-22 12:24:02.205;1796;6829
WEB;Ethernet;2021-08-22 12:24:28.056;2021-08-22 12:24:34.435;1762;4617
WEB;Ethernet;2021-08-22 12:24:59.340;2021-08-22 12:25:05.263;1803;4120
WEB;Ethernet;2021-08-22 12:25:31.397;2021-08-22 12:25:38.337;1776;5164
WEB;Ethernet;2021-08-22 12:26:03.638;2021-08-22 12:26:10.269;1859;4772
WEB;Ethernet;2021-08-22 12:26:36.223;2021-08-22 12:26:42.317;1834;4260
WEB;Ethernet;2021-08-22 12:27:07.566;2021-08-22 12:27:14.240;2096;4578
WEB;Ethernet;2021-08-22 12:27:40.354;2021-08-22 12:27:46.852;1912;4586
WEB;Ethernet;2021-08-22 12:28:12.497;2021-08-22 12:28:19.023;1917;4609
WEB;Ethernet;2021-08-22 12:28:45.212;2021-08-22 12:28:51.085;1888;3985
WEB;Ethernet;2021-08-22 12:29:16.921;2021-08-22 12:29:26.434;1340;8173
WEB;Ethernet;2021-08-22 12:29:52.347;2021-08-22 12:29:58.953;1823;4783
WEB;Ethernet;2021-08-22 12:30:24.167;2021-08-22 12:30:30.848;1925;4756
WEB;Ethernet;2021-08-22 12:30:56.772;2021-08-22 12:31:05.298;3257;5269
WEB;Ethernet;2021-08-22 12:31:31.000;2021-08-22 12:31:41.372;3076;7296
WEB;Ethernet;2021-08-22 12:32:07.202;2021-08-22 12:32:13.810;1922;4686
WEB;Ethernet;2021-08-22 12:32:39.419;2021-08-22 12:32:50.384;1800;9165
WEB;Ethernet;2021-08-22 12:33:16.073;2021-08-22 12:33:22.870;1931;4866
WEB;Ethernet;2021-08-22 12:33:49.115;2021-08-22 12:33:55.125;1776;4234
WEB;Ethernet;2021-08-22 12:34:21.223;2021-08-22 12:34:30.445;2043;7179
WEB;Ethernet;2021-08-22 12:34:55.849;2021-08-22 12:35:02.113;1659;4605
WEB;Ethernet;2021-08-22 12:35:27.566;2021-08-22 12:35:34.397;1951;4880
WEB;Ethernet;2021-08-22 12:36:01.538;2021-08-22 12:36:07.678;2015;4125
WEB;Ethernet;2021-08-22 12:36:33.039;2021-08-22 12:36:39.216;1643;4534
WEB;Ethernet;2021-08-22 12:37:05.316;2021-08-22 12:37:11.665;1741;4608
WEB;Ethernet;2021-08-22 12:37:37.323;2021-08-22 12:37:43.934;1631;4980
WEB;Ethernet;2021-08-22 12:38:10.170;2021-08-22 12:38:16.686;1741;4775
WEB;Ethernet;2021-08-22 12:38:42.461;2021-08-22 12:38:48.959;1883;4615
WEB;Ethernet;2021-08-22 12:39:15.228;2021-08-22 12:39:21.223;1776;4219
WEB;Ethernet;2021-08-22 12:39:46.667;2021-08-22 12:39:56.135;1738;7730
WEB;Ethernet;2021-08-22 12:40:22.298;2021-08-22 12:40:28.997;1622;5077
WEB;Ethernet;2021-08-22 12:40:55.255;2021-08-22 12:41:01.633;2028;4350
WEB;Ethernet;2021-08-22 12:41:27.666;2021-08-22 12:41:34.550;1990;4894
WEB;Ethernet;2021-08-22 12:42:00.375;2021-08-22 12:42:07.048;1989;4684
WEB;Ethernet;2021-08-22 12:42:35.067;2021-08-22 12:42:41.773;1983;4723
WEB;Ethernet;2021-08-22 12:43:07.963;2021-08-22 12:43:15.792;2040;5789
WEB;Ethernet;2021-08-22 12:43:41.618;2021-08-22 12:43:48.291;1831;4842
WEB;Ethernet;2021-08-22 12:44:14.665;2021-08-22 12:44:20.999;2025;4309
WEB;Ethernet;2021-08-22 12:44:46.604;2021-08-22 12:44:52.485;1785;4096
WEB;Ethernet;2021-08-22 12:45:19.315;2021-08-22 12:45:28.801;2009;7477
WEB;Ethernet;2021-08-22 12:46:49.085;2021-08-22 12:46:55.839;1857;4897
WEB;Ethernet;2021-08-22 12:47:21.290;2021-08-22 12:47:27.964;1834;4840
WEB;Ethernet;2021-08-22 12:47:53.692;2021-08-22 12:48:00.793;2569;4532
WEB;Ethernet;2021-08-22 12:48:26.019;2021-08-22 12:48:32.607;2093;4495
WEB;Ethernet;2021-08-22 12:48:58.323;2021-08-22 12:49:04.810;1927;4560
WEB;Ethernet;2021-08-22 12:49:29.714;2021-08-22 12:49:36.110;1800;4596
WEB;Ethernet;2021-08-22 12:50:01.278;2021-08-22 12:50:08.088;1985;4825
WEB;Ethernet;2021-08-22 12:50:33.235;2021-08-22 12:50:42.594;1827;7532
WEB;Ethernet;2021-08-22 12:51:07.932;2021-08-22 12:51:14.096;1942;4222
WEB;Ethernet;2021-08-22 12:51:39.134;2021-08-22 12:51:45.531;1778;4619
WEB;Ethernet;2021-08-22 12:53:04.676;2021-08-22 12:53:11.406;1947;4783
WEB;Ethernet;2021-08-22 12:53:36.600;2021-08-22 12:53:43.644;2055;4989
WEB;Ethernet;2021-08-22 12:54:09.012;2021-08-22 12:54:15.346;1649;4685
WEB;Ethernet;2021-08-22 12:54:40.501;2021-08-22 12:54:46.593;1978;4114
WEB;Ethernet;2021-08-22 12:55:11.846;2021-08-22 12:55:18.560;2136;4578
WEB;Ethernet;2021-08-22 12:55:43.824;2021-08-22 12:55:52.703;1924;6955
WEB;Ethernet;2021-08-22 12:56:18.184;2021-08-22 12:56:24.748;1787;4777
WEB;Ethernet;2021-08-22 12:56:49.960;2021-08-22 12:56:56.377;1825;4592
WEB;Ethernet;2021-08-22 12:57:21.698;2021-08-22 12:57:28.190;1884;4608
WEB;Ethernet;2021-08-22 12:57:53.694;2021-08-22 12:58:00.263;2541;4027
WEB;Ethernet;2021-08-22 12:58:25.960;2021-08-22 12:58:32.281;2009;4311
WEB;Ethernet;2021-08-22 12:58:57.611;2021-08-22 12:59:04.210;1816;4783
WEB;Ethernet;2021-08-22 12:59:29.362;2021-08-22 12:59:35.527;1886;4279
WEB;Ethernet;2021-08-22 13:00:01.546;2021-08-22 13:00:07.559;1445;4568
WEB;Ethernet;2021-08-22 13:00:33.177;2021-08-22 13:00:39.984;1731;5076
WEB;Ethernet;2021-08-22 13:01:05.226;2021-08-22 13:01:14.657;1920;7511
WEB;Ethernet;2021-08-22 13:01:39.834;2021-08-22 13:01:46.543;1878;4831
WEB;Ethernet;2021-08-22 13:02:12.187;2021-08-22 13:02:18.390;1809;4394
WEB;Ethernet;2021-08-22 13:02:43.820;2021-08-22 13:02:50.476;1935;4721
WEB;Ethernet;2021-08-22 13:03:18.541;2021-08-22 13:03:26.073;2885;4647
WEB;Ethernet;2021-08-22 13:03:51.639;2021-08-22 13:04:02.402;3397;7366
WEB;Ethernet;2021-08-22 13:04:27.523;2021-08-22 13:04:34.237;2134;4580
WEB;Ethernet;2021-08-22 13:04:59.715;2021-08-22 13:05:06.092;1755;4622
WEB;Ethernet;2021-08-22 13:05:31.415;2021-08-22 13:05:39.483;4742;3326
WEB;Ethernet;2021-08-22 13:06:05.369;2021-08-22 13:06:12.387;2013;5005
WEB;Ethernet;2021-08-22 13:06:40.787;2021-08-22 13:06:51.857;1868;9202
WEB;Ethernet;2021-08-22 13:07:17.691;2021-08-22 13:07:24.364;1818;4855
WEB;Ethernet;2021-08-22 13:07:49.846;2021-08-22 13:07:57.602;3136;4620
WEB;Ethernet;2021-08-22 13:08:23.130;2021-08-22 13:08:29.658;1957;4571
WEB;Ethernet;2021-08-22 13:08:54.955;2021-08-22 13:09:01.433;1983;4495
WEB;Ethernet;2021-08-22 13:09:26.706;2021-08-22 13:09:33.119;1830;4583
WEB;Ethernet;2021-08-22 13:09:58.814;2021-08-22 13:10:05.393;1705;4874
WEB;Ethernet;2021-08-22 13:10:30.926;2021-08-22 13:10:36.998;1772;4300
WEB;Ethernet;2021-08-22 13:11:02.601;2021-08-22 13:11:09.369;1951;4817
WEB;Ethernet;2021-08-22 13:11:35.065;2021-08-22 13:11:42.366;2081;5220
WEB;Ethernet;2021-08-22 13:12:07.750;2021-08-22 13:12:19.002;1904;9348
